ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin
64,03-050-F,2003,Pelikaanimies,Monsieur Pélican,Pelicanman,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,0,0,2172875.0,,['Liisa Helminen'],"[1738301.0, 434574.0]","[203, 226]","['FI ', 'SE ']","['Finland', 'Sweden']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
65,03-052-F,2003,Otkradnati ochi,,Stolen Eyes,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,0,0,829333.0,,['Radoslav Spassov'],"[565310.0, 264023.0]","[134, 363]","['BG ', 'TR ']","['Bulgaria', 'Türkiye']","[0.68164, 0.31836]","[1, 2]","['Majority', 'Minority']"
68,03-058-F,2003,Inat hikayeleri,,Tales of Intransigence,2003-04-16 00:00:00.000,Documentary,,Supported,Eligible,0,0,265010.0,,['Reis Celik'],"[59724.0, 205286.0]","[161, 289]","['DE ', 'TR ']","['Germany', 'Türkiye']","[0.22537, 0.77463]","[2, 1]","['Minority', 'Majority']"
69,03-062-F,2003,Dear Wendy,,Dear Wendy,2003-07-02 00:00:00.000,Fiction,,Supported,Eligible,0,0,6822105.0,,['Thomas Vinterberg'],"[929467.0, 3165578.0, 1356935.0, 1370125.0]","[82, 200, 265, 310]","['UK ', 'DK ', 'DE ', 'FR ']","['United Kingdom', 'Denmark', 'Germany', 'France']","[0.13624, 0.46402, 0.1989, 0.20084]","[4, 1, 3, 2]","['Minority', 'Majority', 'Minority', 'Minority']"
71,03-064-F,2003,Vendredi ou un autre jour,,Friday or Another Day,2003-07-02 00:00:00.000,Fiction,,Supported,Eligible,0,0,3038453.0,,['Yvan Le Moine'],"[1519227.0, 607690.0, 303846.0, 607690.0]","[5, 28, 47, 64]","['BE ', 'FR ', 'SK ', 'IT ']","['Belgium', 'France', 'Slovakia', 'Italy']","[0.5, 0.2, 0.1, 0.2]","[1, 2, 3, 2]","['Majority', 'Minority', 'Minority', 'Minority']"
72,03-067-C2,2003,Wasser,,About Water: People and Yellow Cans,2003-07-02 00:00:00.000,Documentary,,Supported,Eligible,1,0,1203426.0,,['Udo Maurer'],"[924843.0, 278583.0]","[199, 297]","['AT ', 'LU ']","['Austria', 'Luxembourg']","[0.76851, 0.23149]","[1, 2]","['Majority', 'Minority']"
73,03-068-F,2003,"Piccolo, Saxo et Compagnie",,"Piccolo, Saxo et Compagnie",2003-07-02 00:00:00.000,Animation,,Supported,Eligible,0,0,7267244.0,,"['Andre Clavel', 'Eric Gutierrez']","[2150000.0, 5051500.0]","[80, 139]","['RO ', 'FR ']","['Romania', 'France']","[0.29585, 0.69511]","[4, 2]","['Minority', 'Minority']"
74,03-074-F,2003,Sportman fan 'e ieu,Athlète du Siècle,Sportsman of the Century,2003-07-02 00:00:00.000,Fiction,,Supported,Eligible,1,0,,,['Mischa Alexander'],,,,,,,
75,03-075-F,2003,Melegin Düsüsü,,Angel's fall,2003-07-02 00:00:00.000,Fiction,,Supported,Eligible,0,0,900000.0,,['Semih Kaplanoglu'],"[180000.0, 720000.0]","[159, 174]","['GR ', 'TR ']","['Greece', 'Türkiye']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
79,03-094-F,2003,Madame Edouard,,Madame Edouard,2003-07-02 00:00:00.000,Fiction,,Supported,Eligible,1,0,5185707.0,,['Nadine Monfils'],"[1005141.0, 3266709.0, 753856.0]","[25, 251, 297]","['BE ', 'FR ', 'LU ']","['Belgium', 'France', 'Luxembourg']","[0.19383, 0.62994, 0.14537]","[4, 2, 6]","['Minority', 'Minority', 'Minority']"
83,03-101-F,2003,La Vita che vorrei,,The Life That I Want,2003-10-08 00:00:00.000,Fiction,,Supported,Eligible,0,0,4605000.0,,['Giuseppe Piccioni'],"[3684000.0, 921000.0]","[202, 237]","['IT ', 'DE ']","['Italy', 'Germany']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
86,03-110-F,2003,Neco Jaco Stesti,Something Like Happiness,Something Like Happiness,2003-10-08 00:00:00.000,Fiction,,Supported,Eligible,0,0,1021305.0,,['Bohdan Slama'],"[715305.0, 306000.0]","[245, 266]","['CZ ', 'DE ']","['Czech Republic', 'Germany']","[0.70038, 0.29962]","[1, 2]","['Majority', 'Minority']"
87,03-111-F,2003,Spoon (Lepel),Le petit mathématicien,Spoon,2003-10-08 00:00:00.000,Fiction,,Supported,Eligible,0,0,2664431.0,,['Willem Van de sande bakhuyzen'],"[523560.0, 1587804.0, 335176.0]","[96, 185, 373]","['DE ', 'NL ', 'UK ']","['Germany', 'Netherlands', 'United Kingdom']","[0.1965, 0.59593, 0.1258]","[3, 2, 5]","['Minority', 'Minority', 'Minority']"
90,03-118-F,2003,Confituur,Confiture,Sweet Jam,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,3015542.0,,['Lieven Debrauwer'],"[604616.0, 2410926.0]","[49, 180]","['CH ', 'BE ']","['Switzerland', 'Belgium']","[0.2005, 0.7995]","[2, 1]","['Minority', 'Majority']"
91,03-121-F2,2003,Blanche neige la suite,,Snow White: The Sequel,2003-10-08 00:00:00.000,Animation,,Supported,Eligible,0,0,5074171.0,,['Jean Paul Walravens (dit Picha)'],"[1014873.0, 1217801.0, 2841497.0]","[318, 326, 362]","['UK ', 'FR ', 'BE ']","['United Kingdom', 'France', 'Belgium']","[0.20001, 0.24, 0.55999]","[3, 2, 1]","['Minority', 'Minority', 'Majority']"
92,03-122-F,2003,Mar Adentro,,The Sea Inside,2003-10-08 00:00:00.000,Fiction,,Supported,Eligible,0,0,,,['Alejandro Amenabar'],,,,,,,
93,03-126-F,2003,Yolda,,On the Way,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,1332777.0,,['Erden Kiral'],"[1066222.0, 266555.0]","[87, 137]","['TR ', 'BG ']","['Türkiye', 'Bulgaria']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
95,03-131-F,2003,Manderlay,,Manderlay,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,10899654.0,,['Lars Von Trier'],"[1211073.0, 1453287.0, 2416063.0, 1921508.0, 3897723.0]","[165, 212, 223, 256, 367]","['NL ', 'UK ', 'SE ', 'FR ', 'DK ']","['Netherlands', 'United Kingdom', 'Sweden', 'France', 'Denmark']","[0.11111, 0.13333, 0.22166, 0.17629, 0.3576]","[5, 4, 2, 3, 1]","['Minority', 'Minority', 'Minority', 'Minority', 'Majority']"
96,03-132-F,2003,La Vraie vie des Dalton,La Vraie vie des Dalton,Lucky Luke and the Daltons,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,27039032.0,,['Philippe Haim'],"[2703903.0, 5407807.0, 18927322.0]","[52, 160, 345]","['ES ', 'DE ', 'FR ']","['Spain', 'Germany', 'France']","[0.1, 0.2, 0.7]","[3, 2, 1]","['Minority', 'Minority', 'Majority']"
97,03-139-F,2003,One Day in Europe (Galatasaray Deport),,One Day in Europe,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,1907625.0,,['Hannes Stohr'],"[381525.0, 1526100.0]","[123, 232]","['ES ', 'DE ']","['Spain', 'Germany']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
98,03-140-F,2003,Omiros,,Hostage,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,942856.0,,['Constantine Giannaris'],"[749570.0, 193286.0]","[48, 298]","['GR ', 'TR ']","['Greece', 'Türkiye']","[0.795, 0.205]","[1, 2]","['Majority', 'Minority']"
99,03-146-F,2003,Dobro Ustimani Mrtvaci (Well Tempered Corpses),,Well Tempered Corpses,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,0,0,1187900.0,,['Benjamin Filipovic'],"[225818.0, 225000.0, 1056179.0]","[29, 309, 323]","['FR ', 'IT ', 'SI ']","['France', 'Italy', 'Slovenia']","[0.1901, 0.18941, 0.88911]","[3, 4, 1]","['Minority', 'Minority', 'Majority']"
100,03-148-F,2003,Armbryteskan fran Ensamheten,,Armbryteskan fran Ensamheten,2003-12-03 00:00:00.000,Documentary,,Supported,Eligible,1,0,309735.0,,"['Lisa Munthe', 'Helen Ahlsson']","[247788.0, 61947.0]","[226, 236]","['SE ', 'NO ']","['Sweden', 'Norway']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
101,03-152-F,2003,Akamas,Akamas,Akamas,2003-12-03 00:00:00.000,Fiction,,Supported,Eligible,1,0,1228764.0,,['Panicos Chrysanthou'],"[946089.0, 145862.0, 136813.0]","[26, 77, 214]","['CY ', 'HU ', 'TR ']","['Cyprus', 'Hungary', 'Türkiye']","[0.76995, 0.11871, 0.11134]","[1, 2, 3]","['Majority', 'Minority', 'Minority']"
102,04-001-F,2004,El sueno de una noche de San Juan,Songe d'une nuit d'été,Midsummer Dream,2004-02-25 00:00:00.000,Animation,,Supported,Eligible,0,0,6070300.0,,"['Angel De la Cruz', 'Manolo Gomez']","[1214060.0, 4856240.0]","[20, 93]","['PT ', 'ES ']","['Portugal', 'Spain']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
103,04-002-F,2004,Leiutajateküla Lotte (Ex. Lotte from Inventor's Village),"Lotte, du village des inventeurs",Lotte from Gadgetville,2004-02-25 00:00:00.000,Animation,,Supported,Eligible,1,0,1805343.0,,"['Janno Poldma', 'Heiki Eernits']","[1145913.0, 681796.0]","[95, 290]","['EE ', 'LV ']","['Estonia', 'Latvia']","[0.63473, 0.37765]","[1, 4]","['Majority', 'Minority']"
104,04-007-F,2004,Le Petit Roi Macius,,Little King Macius,2004-02-25 00:00:00.000,Animation,,Supported,Eligible,1,0,2954354.0,,['Sandor Jesse'],"[858200.0, 415442.0, 1680713.0]","[145, 258, 300]","['FR ', 'PL ', 'DE ']","['France', 'Poland', 'Germany']","[0.29049, 0.14062, 0.56889]","[3, 6, 1]","['Minority', 'Minority', 'Majority']"
105,04-008-F,2004,Jungledyret Hugo - Fraek Som altid,,Jungo Goes Bananas,2004-10-06 00:00:00.000,Animation,,Supported,Eligible,0,0,4303736.0,,"['Jorgen Lerdam', 'Flemming Quist Moller', 'Anders Sorensen']","[477258.0, 587787.0, 1979542.0, 1259149.0]","[4, 255, 273, 341]","['LV ', 'NO ', 'DK ', 'DE ']","['Latvia', 'Norway', 'Denmark', 'Germany']","[0.11089, 0.13658, 0.45996, 0.29257]","[4, 3, 1, 2]","['Minority', 'Minority', 'Majority', 'Minority']"
107,04-011-F,2004,De Tre Musketerer,Les Trois Mousquetaires,The Three Musketeers,2004-02-25 00:00:00.000,Animation,,Supported,Eligible,0,0,1341702.0,,['Janis Cimermanis'],"[406500.0, 310732.0, 624470.0]","[122, 331, 368]","['LV ', 'UK ', 'DK ']","['Latvia', 'United Kingdom', 'Denmark']","[0.30297, 0.2316, 0.46543]","[4, 5, 1]","['Minority', 'Minority', 'Majority']"
108,04-012-F,2004,L'amore ritrovato,Une romance italienne,An Italian Romance,2004-02-25 00:00:00.000,Fiction,,Supported,Eligible,0,0,5200000.0,,['Carlo Mazzacurati'],"[4420000.0, 780000.0]","[42, 280]","['IT ', 'FR ']","['Italy', 'France']","[0.85, 0.15]","[1, 2]","['Majority', 'Minority']"
111,04-024-F,2004,Valley of Flowers,,Valley of Flowers,2004-02-25 00:00:00.000,Fiction,,Supported,Eligible,0,0,2903800.0,,['Pan Nalin'],"[1306800.0, 3083200.0]","[98, 13750]","['FR ', 'DE ']","['France', 'Germany']","[0.45003, 1.06178]","[3, 1]","['Minority', 'Majority']"
112,04-028-F,2004,"Va, vis et deviens",,"Go, Live and be someone",2004-02-25 00:00:00.000,Fiction,,Supported,Eligible,0,0,5327287.0,,['Radu Mihaileanu'],"[741500.0, 2965561.0, 1086150.0, 534076.0]","[53, 98, 173, 338]","['IT ', 'FR ', 'BE ', 'IL ']","['Italy', 'France', 'Belgium', 'Israel']","[0.13919, 0.55667, 0.20388, 0.10025]","[3, 1, 2, 4]","['Minority', 'Majority', 'Minority', 'Minority']"
113,04-029-F,2004,Paradise Now,,Paradise Now,2004-02-25 00:00:00.000,Fiction,,Supported,Eligible,0,0,2000000.0,,['Hany Abu-Assad'],"[770000.0, 250000.0, 380000.0, 600000.0]","[34, 182, 201, 283]","['NL ', 'IL ', 'FR ', 'DE ']","['Netherlands', 'Israel', 'France', 'Germany']","[0.385, 0.125, 0.19, 0.3]","[1, 4, 3, 2]","['Majority', 'Minority', 'Minority', 'Minority']"
114,04-030-F,2004,The Unkenrufe,,Call of the Toad,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,0,0,2934400.0,,['Robert Glinski'],"[1006096.0, 312266.0, 1804298.0]","[124, 177, 374]","['PL ', 'UK ', 'DE ']","['Poland', 'United Kingdom', 'Germany']","[0.34286, 0.10642, 0.61488]","[3, 5, 2]","['Minority', 'Minority', 'Minority']"
115,04-031-C,2004,Calling Hedy Lamarr (aka Hedy Lamarr - The Secret Communication),,Hedy Lamarr - The Secret Communication,2004-02-25 00:00:00.000,Documentary,,Supported,Eligible,0,0,154600.0,,"['Donatello Dubini', 'Fosco  Dubin']","[60230.0, 94370.0]","[91, 339]","['DE ', 'CH ']","['Germany', 'Switzerland']","[0.38959, 0.61041]","[2, 1]","['Minority', 'Majority']"
116,04-038-C,2004,"Congo River, au delà des ténèbres",,"Congo River, au delà des ténèbres",2004-04-21 00:00:00.000,Documentary,,Supported,Eligible,0,0,1609359.0,,['Thierry Michel'],"[874043.0, 735316.0]","[186, 188]","['BE ', 'FR ']","['Belgium', 'France']","[0.5431, 0.4569]","[1, 2]","['Majority', 'Minority']"
118,04-042-F,2004,Short Order,,Short Order,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,1,0,3000000.0,,['Anthony Byrne'],"[1351636.0, 900000.0, 748364.0]","[155, 163, 272]","['IE ', 'UK ', 'DE ']","['Ireland', 'United Kingdom', 'Germany']","[0.45055, 0.3, 0.24945]","[1, 2, 3]","['Majority', 'Minority', 'Minority']"
120,04-046-F,2004,Taxidermia,,Taxidermia,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,0,0,1500000.0,,['Gyorgy Palfi'],"[975000.0, 525000.0]","[106, 222]","['HU ', 'FR ']","['Hungary', 'France']","[0.65, 0.35]","[1, 2]","['Majority', 'Minority']"
122,04-049-F,2004,Sileni,Le Délire,Lunacy,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,1499537.0,,['Jan Svankmajer'],"[1160603.0, 338934.0]","[32, 172]","['CZ ', 'SK ']","['Czech Republic', 'Slovakia']","[0.77397, 0.22603]","[1, 2]","['Majority', 'Minority']"
123,04-052-F,2004,Le Couperet,,Le Couperet,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,0,0,5325990.0,,['Costa Gavras'],"[3728193.0, 1065198.0, 532599.0]","[176, 190, 358]","['FR ', 'BE ', 'ES ']","['France', 'Belgium', 'Spain']","[0.7, 0.2, 0.1]","[1, 2, 3]","['Majority', 'Minority', 'Minority']"
124,04-053-F,2004,Die Hochzeitsfeier,Lune de Guerre,The Wedding Party,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,6699179.0,,['Dominique Deruddere'],"[1560000.0, 5139179.0]","[230, 344]","['BE ', 'DE ']","['Belgium', 'Germany']","[0.23286, 0.76714]","[2, 1]","['Minority', 'Majority']"
125,04-055-F,2004,The Ugly Duckling & Me!,,The Ugly Duckling & Me!,2004-06-30 00:00:00.000,Animation,,Supported,Eligible,0,0,11542174.0,,"['Michael Hegner', 'Karsten Kiilerich']","[2764298.0, 1238235.0, 804035.0, 1252987.0]","[3, 133, 208, 346]","['DK ', 'FR ', 'IE ', 'DE ']","['Denmark', 'France', 'Ireland', 'Germany']","[0.2395, 0.10728, 0.06966, 0.10856]","[2, 5, 8, 4]","['Minority', 'Minority', 'Minority', 'Minority']"
126,04-056-F,2004,Habana Blues,,Habana Blues,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,0,0,2625000.0,,['Benito Zambrano'],"[337546.0, 1950969.0, 336485.0]","[150, 206, 280]","['CU ', 'ES ', 'FR ']","['Cuba', 'Spain', 'France']","[0.12859, 0.74323, 0.12818]","[2, 1, 3]","['Minority', 'Majority', 'Minority']"
127,04-061-C,2004,Gargandi Snilld (Screaming Masterpiece),,Screaming Masterpiece,2004-10-06 00:00:00.000,Documentary,,Supported,Eligible,0,0,497504.0,,['Ari Alexander Ergis Magnusson'],"[59696.0, 104453.0, 333355.0]","[7, 19, 241]","['NL ', 'DK ', 'IS ']","['Netherlands', 'Denmark', 'Iceland']","[0.11999, 0.20995, 0.67005]","[6, 4, 1]","['Minority', 'Minority', 'Majority']"
128,04-065-F,2004,Caché,Caché,Hidden,2004-04-21 00:00:00.000,Fiction,,Supported,Eligible,0,0,6718226.0,,['Michael Haneke'],"[3443091.0, 3275135.0]","[191, 359]","['FR ', 'AT ']","['France', 'Austria']","[0.5125, 0.4875]","[1, 2]","['Majority', 'Minority']"
129,04-071-F,2004,Joyeux Noël,Joyeux Noël,Merry Christmas!,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,18151814.0,,['Christian Carion'],"[1815181.0, 2268977.0, 1815181.0, 8622112.0, 3630363.0]","[25, 171, 218, 254, 306]","['BE ', 'UK ', 'RO ', 'FR ', 'DE ']","['Belgium', 'United Kingdom', 'Romania', 'France', 'Germany']","[0.1, 0.125, 0.1, 0.475, 0.2]","[4, 3, 4, 1, 2]","['Minority', 'Minority', 'Minority', 'Majority', 'Minority']"
130,04-074-F,2004,Backstage,,Backstage,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,3550000.0,,['Emmanuelle Bercot'],"[710000.0, 2840000.0]","[66, 139]","['DE ', 'FR ']","['Germany', 'France']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
131,04-076-F,2004,La Reine Soleil,,Princess of the sun,2004-11-30 00:00:00.000,Animation,,Supported,Eligible,0,0,5331672.0,,['Philippe Leclerc'],"[533167.0, 3732171.0, 533167.0, 533167.0]","[362, 11907, 11908, 11909]","['BE ', 'FR ', 'IT ', 'HU ']","['Belgium', 'France', 'Italy', 'Hungary']","[0.1, 0.7, 0.1, 0.1]","[2, 1, 2, 2]","['Minority', 'Majority', 'Minority', 'Minority']"
132,04-077-F,2004,Gabrielle (Trois Soirées),,Gabrielle,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,5320000.0,,['Patrice Chereau'],"[532000.0, 4788000.0]","[10, 35]","['IT ', 'FR ']","['Italy', 'France']","[0.1, 0.9]","[2, 1]","['Minority', 'Majority']"
134,04-081-F,2004,L'Avion,L'Avion,L'Avion,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,10081970.0,,['Cedric Kahn'],"[2028394.0, 8113576.0]","[9, 116]","['DE ', 'FR ']","['Germany', 'France']","[0.20119, 0.80476]","[4, 1]","['Minority', 'Majority']"
137,04-099-F,2004,Grbavica,,Grbavica,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,1,0,999000.0,,['Jasmila Zbanic'],"[334900.0, 230800.0, 105400.0, 327900.0]","[69, 83, 168, 252]","['AT ', 'BA ', 'HR ', 'DE ']","['Austria', 'Bosnia-Herzegovina', 'Croatia', 'Germany']","[0.33524, 0.23103, 0.10551, 0.32823]","[1, 3, 4, 2]","['Majority', 'Minority', 'Minority', 'Minority']"
138,04-101-F,2004,L'Enfant,,The Child,2004-06-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,3595894.0,,"['Jean-Pierre Dardenne', 'Luc  Dardenne']","[1294522.0, 2301372.0]","[23, 190]","['FR ', 'BE ']","['France', 'Belgium']","[0.36, 0.64]","[2, 1]","['Minority', 'Majority']"
142,04-119-F,2004,L'Enfer,L'Enfer,Hell,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,4576788.0,,['Danis Tanovic'],"[3487102.0, 518898.0, 570788.0]","[29, 213, 309]","['FR ', 'BE ', 'IT ']","['France', 'Belgium', 'Italy']","[0.76191, 0.11338, 0.12471]","[1, 3, 2]","['Majority', 'Minority', 'Minority']"
143,04-123-F,2004,Zwartboek,Le Cahier Noir,Black Book,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,12321342.0,,['Paul Verhoeven'],"[3086094.0, 3833622.0, 5401626.0]","[65, 96, 131]","['UK ', 'DE ', 'NL ']","['United Kingdom', 'Germany', 'Netherlands']","[0.25047, 0.31114, 0.4384]","[3, 2, 1]","['Minority', 'Minority', 'Majority']"
144,04-124-F,2004,Nocturna,Nocturna,Nocturna,2004-11-30 00:00:00.000,Animation,,Supported,Eligible,1,0,8009699.0,,"['Victor Maldonado', 'Adrian Garcia']","[3277569.0, 3007642.0, 1724488.0]","[11927, 11928, 17282]","['ES ', 'FR ', 'UK ']","['Spain', 'France', 'United Kingdom']","[0.4092, 0.3755, 0.2153]","[1, 2, 3]","['Majority', 'Minority', 'Minority']"
145,04-125-F,2004,Warchild - The Missing,,Warchild - The Missing,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,2065122.0,,['Christian Wagner'],"[1652034.0, 413088.0]","[55, 323]","['DE ', 'SI ']","['Germany', 'Slovenia']","[0.79997, 0.20003]","[1, 2]","['Majority', 'Minority']"
146,04-126-F,2004,Iklimler,Les Climats,Climates,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,1842186.0,,['Nuri Bilge Ceylan'],"[1381526.0, 460660.0]","[67, 280]","['TR ', 'FR ']","['Türkiye', 'France']","[0.74994, 0.25006]","[1, 2]","['Majority', 'Minority']"
147,04-129-C,2004,Iberia,,,2004-10-06 00:00:00.000,Documentary,,Supported,Eligible,0,0,2318012.0,,['Carlos Saura'],"[463602.0, 1854410.0]","[108, 233]","['FR ', 'ES ']","['France', 'Spain']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
148,04-133-F,2004,Import/Eksport,,Import/Eksport,2004-10-06 00:00:00.000,Fiction,,Supported,Eligible,0,0,2085747.0,,['Khalid Hussain'],"[1348226.0, 458238.0, 279281.0]","[125, 157, 369]","['NO ', 'SE ', 'DK ']","['Norway', 'Sweden', 'Denmark']","[0.6464, 0.2197, 0.1339]","[2, 3, 5]","['Minority', 'Minority', 'Minority']"
151,04-148-F,2004,Azur et Asmar,,Azur et Asmar,2004-11-30 00:00:00.000,Animation,,Supported,Eligible,0,0,9324689.0,,['Michel Ocelot'],"[932469.0, 6527282.0, 932469.0, 932469.0]","[25, 254, 11912, 11913]","['BE ', 'FR ', 'IT ', 'ES ']","['Belgium', 'France', 'Italy', 'Spain']","[0.1, 0.7, 0.1, 0.1]","[2, 1, 2, 2]","['Minority', 'Majority', 'Minority', 'Minority']"
153,04-154-C,2004,A Poet's Estate (ex-Personal Property) (ex. Archangel's Journey),Personal Property,Archangel's Journey,2004-11-30 00:00:00.000,Documentary,,Supported,Eligible,0,0,278624.0,,['Athanassia Drakopoulou'],"[222899.0, 55725.0]","[57, 11917]","['GR ', 'CY ']","['Greece', 'Cyprus']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
154,04-158-F,2004,Il Regista di Matrimoni,,The Wedding Director,2004-11-30 00:00:00.000,Fiction,,Supported,Eligible,0,0,5128000.0,,['Marco Bellocchio'],"[755700.0, 4282300.0]","[11918, 11919]","['FR ', 'IT ']","['France', 'Italy']","[0.14737, 0.83508]","[3, 2]","['Minority', 'Minority']"
156,05-001-F,2005,Brendan and the Secret of Kells,Brendan et le Secret de Kells,Brendan and the Secret of Kells,2005-03-02 00:00:00.000,Animation,,Supported,Eligible,1,0,5721545.0,,['Tomm Moore'],"[1772749.0, 1925522.0, 2023274.0]","[11923, 11924, 11925]","['IE ', 'FR ', 'BE ']","['Ireland', 'France', 'Belgium']","[0.30984, 0.33654, 0.35362]","[3, 2, 1]","['Minority', 'Minority', 'Majority']"
157,05-002-F,2005,Fly by Rossinant,,Fly by Rossinant,2005-03-02 00:00:00.000,Fiction,,Supported,Eligible,0,0,1400876.0,,['Georgi Stoev-Djaky'],"[140088.0, 280176.0, 980612.0]","[9796, 11934, 11935]","['AT ', 'RS ', 'BG ']","['Austria', 'Serbia', 'Bulgaria']","[0.1, 0.2, 0.7]","[3, 2, 1]","['Minority', 'Minority', 'Majority']"
